SrcIP,SrcPort,DstIP,DstPort,SegmentSize,Count
247.107.149.20,60359,62.210.152.202,111,20,1
25.253.166.51,33238,93.56.67.150,443,549,1
208.5.173.157,36522,19.104.67.60,443,1460,4
33.56.67.150,25158,199.72.110.52,5061,587,1
166.244.158.141,55809,0.234.178.203,8728,20,1
119.0.124.194,39264,163.246.5.133,5900,24,1
158.246.6.171,26565,109.120.15.133,445,24,1
227.129.135.15,52143,218.0.67.150,3074,32,1
196.151.67.20,50799,244.253.5.133,7473,20,1
3.86.149.18,50276,55.186.178.203,443,363,1
57.19.42.116,57900,98.106.123.199,443,32,1
193.236.83.154,51149,54.0.5.133,80,20,1
42.14.50.139,2209,207.79.67.150,548,20,1
102.186.7.92,40645,54.87.67.150,3386,20,1
138.43.207.61,35041,116.194.152.202,80,40,1
29.199.211.162,35382,60.239.178.203,15122,20,1
201.66.222.147,49370,2.218.178.203,81,24,1
170.230.10.206,4602,120.243.178.203,44819,40,1
83.134.36.18,45606,123.236.5.133,5061,32,1
50.175.28.133,64412,179.215.41.104,443,393,1
50.175.28.133,64412,179.215.41.104,443,121,1
50.175.28.133,64412,179.215.41.104,443,146,1
50.175.28.133,64412,179.215.41.104,443,32,1
80.16.176.126,63409,173.28.113.131,443,104,2
139.91.97.18,34409,201.27.5.133,446,32,1
212.191.47.195,25374,124.181.178.203,830,49,1
76.12.53.164,443,96.118.67.150,13938,59,1
76.12.53.164,443,96.118.67.150,13938,55,1
114.179.102.87,60211,84.162.24.202,587,32,1
250.123.211.3,40379,234.94.67.150,93,32,1
106.124.5.70,48669,16.197.5.133,8080,20,1
65.32.161.83,55634,14.134.178.203,8888,20,1
100.153.100.126,12933,247.204.112.131,993,72,1
27.181.178.203,53,129.69.0.51,59926,40,1
111.197.15.14,45548,104.221.13.202,43,59,1
129.69.0.51,59926,27.181.178.203,53,40,1
239.129.135.15,43922,168.164.24.202,8406,32,1
42.249.155.175,18335,248.104.123.199,443,28,1
208.5.173.157,13494,19.104.67.60,443,1460,1
111.128.163.73,29616,136.106.112.131,79,24,1
60.213.121.118,57456,189.202.152.202,23,20,1
86.182.89.167,14844,73.162.164.163,4841,40,1
205.191.47.195,42285,155.163.178.203,15904,32,1
46.122.89.23,40123,71.80.67.150,3389,20,1
24.3.89.197,58232,52.132.67.150,23,20,1
241.123.110.185,57205,241.172.67.150,8989,20,1
90.182.89.167,45056,160.211.5.133,2096,40,1
196.155.197.36,51414,248.104.123.199,443,44,1
119.143.83.213,35004,135.253.178.203,5555,32,1
50.175.28.133,64411,179.215.41.104,443,393,1
50.175.28.133,64411,179.215.41.104,443,121,1
50.175.28.133,64411,179.215.41.104,443,146,1
50.175.28.133,64411,179.215.41.104,443,32,1
171.60.211.185,50855,58.122.67.150,23,20,1
58.45.15.133,40961,11.9.43.65,80,2820,1
58.45.15.133,40961,11.9.43.65,80,1420,8
136.170.164.185,44950,30.178.67.150,22,32,1
172.230.10.206,8665,187.213.164.163,6005,40,1
148.87.148.18,41144,204.195.67.150,50005,32,1
187.34.236.89,59341,22.198.67.150,37278,20,1
90.220.20.112,49052,1.31.5.133,23,32,1
187.34.236.89,59341,221.167.67.150,8879,20,1
154.115.207.193,56832,90.245.152.202,2455,24,1
66.76.71.195,35375,135.164.24.202,80,40,1
88.32.161.83,59327,200.151.67.150,22,20,1
80.166.55.170,43035,102.207.5.133,8728,20,1
104.42.209.81,19176,158.207.67.150,8080,20,1
190.249.155.175,50439,248.104.123.199,443,44,1
95.33.161.83,51049,109.29.238.103,57094,20,1
